idx,additive,CEI,High_voltage_performance_CEI,SEI,Optimal_operating_temperature
1,B-C3N4QDs,Not found,Not found,Not found,Not found
77,ABA#1,Not found,Not found,Not found,Not found
171,"LiBOB, TPhBX",Not found,Not found,Not found,Not found
178,TPFPB,Not found,Not found,Not found,Not found
223,BF3·DE,Not found,Not found,"The additive contributes to the formation of a Ca2+ permeable SEI similar to the one obtained with BF4-, allowing calcium plating and stripping, although the exact composition is not fully understood and will be investigated in a forthcoming study.",100°C
301,TMSB,"The TMSB additive facilitates the formation of a stable and dense CEI layer enriched with highly ion-conductive inorganic components, such as LixPOyFz, by weakening the interaction between PF6- anions and EMC solvent, suppressing EMC decomposition, and reducing interface impedance.","The battery with the TMSB additive exhibits excellent stability and rate capability at high voltage, achieving 87.86% capacity retention after 2000 cycles at 5.2V and 84.21% capacity retention at 50C.",Not found,Not found
429,B(OH)3,Not found,Not found,Not found,Not found
431,"DiOB-Py, DiOB-An",Not found,Not found,Not found,Not found
469,B doping,Not found,Not found,Not found,55°C
524,TPFPB,Not found,Not found,"TPFPB promotes the formation of a stable SEI film on the surface of MPF, enriched with LiF microcrystals, which stabilizes the SEI, creates fast ion transport channels, reduces interface impedance, and enhances the diffusion rate of Li+ within the electrode.",Not found
534,BA,Not found,Not found,Not found,Not found
544,Na[B(hfip)4],"The boron-containing additive Na[B(hfip)4] forms a robust cathode electrolyte interphase (CEI) on high-voltage cathodes, abundant in C-F, B-O, and B-F components, which contributes to long-term cycling stability by effectively suppressing undesirable side reactions and mitigating electrolyte decomposition.","The battery with the additive Na[B(hfip)4] demonstrates enhanced performance at high voltages, with anodic stability up to 4.5 V versus Na/Na+, and shows improved capacity retention in full cells, such as 93.3% after 100 cycles for NVPF@C@CNT cathode at 0.1 C rate, compared to poor performance with conventional electrolyte.","The additive promotes the formation of a fluorine and boron-rich solid electrolyte interphase (SEI) on the sodium metal anode, leading to uniform, dense sodium deposition, enhanced SEI stability, and reduced interface impedance by suppressing side reactions.",Not found
584,"TPFPB, DiOB-Py",Not found,Not found,Not found,Not found
626,"PRZ, PBF, LUTID, TRIZIN",Not found,Not found,Not found,Not found
671,h-BN,Not found,Not found,Not found,Not found
707,"H3BO3, LBOx","The boron-containing additive (H3BO3 and LBOx) forms mixed ionic-electronic interphases that enhance interfacial mechanical adhesion and facilitate lithium ion transport, contributing to a stable and dense CEI membrane.","The battery with the additive delivers an area capacity above 8 mAh·cm⁻² within a wide voltage window up to 4.4 V, tested in solid-state cells at 50°C.","The additive suppresses side reactions and reduces interface impedance by forming strong B-O bonds that stabilize the interface and prevent decomposition, as demonstrated in computational studies.","The solid-state cells were tested at 50°C, but no specific optimal operating temperature is mentioned; the sintering processes used temperatures like 350°C and 800°C for fabrication, not operation."
