idx,additive,CEI,High_voltage_performance_CEI,SEI,Optimal_operating_temperature
41,TPFPB,"The boron-containing additive TPFPB induces preferential formation of a steady and smooth interfacial layer on the LNMO cathode, which prevents decomposition of the electrolyte and impedes pulverization of the cathode electrode, leading to a uniform and thin CEI layer of approximately 10 nm that minimizes impedance and allows effective transport of Li ions.","With the TPFPB additive, the LNMO/Li battery achieved superior capacity retention of 90% after 500 cycles at 0.5C with a charge cut-off voltage of 4.95 V, compared to only 17% capacity retention for the battery without the additive.","TPFPB is preferentially reduced at the Li anode, forming a dense and smooth SEI layer that suppresses Li dendrite growth and reduces electrolyte decomposition, as evidenced by decreased poly(CO3) signals in XPS spectra and smoother surface morphology in SEM images.",Not found
43,LiBOB,Not found,"The battery with the additive (B, F-CSE) shows excellent cycling stability at high voltages, with 97.9% capacity retention after 100 cycles at 4.4V and 99.4% capacity retention after 50 cycles at 4.5V.",Not found,25°C
72,BN,Not found,Not found,Not found,Not found
161,NHCABT,"The addition of NHCABT and LiNO3 in the electrolyte enables the formation of a stable and ion-conducting artificial SEI and CEI, rich in inorganic species like LiF, BFx, LixNy, and LixNOy, which enhances oxidation resistance and suppresses electrolyte decomposition at high voltages, as indicated by LSV curves showing a wider electrochemical stability window and characteristic CEI formation signals.","The Li||NCM811 batteries with NHCABT/LiNO3-CBE exhibit stable cycling at high voltage, delivering a reversible discharge capacity of 138.3 mAh g⁻¹ after 1000 cycles at 1.0 C with an operating voltage up to 4.4 V vs. Li/Li⁺, compared to conventional CBE which suffers from rapid capacity degradation under similar conditions.","The synergistic effect of NHCABT and LiNO3 induces the formation of a uniform and stable SEI rich in inorganic species such as LiF, BFx, LixNy, and LixNOy, which suppresses side reactions, reduces interface impedance, and enhances Li⁺ conductivity, as evidenced by lower interfacial resistances and improved cycling stability in Li||Li symmetric batteries.","The high-loading Li||LFP batteries with NHCABT/LiNO3-CBE demonstrate stable cycling at low temperatures, delivering specific discharge capacities of 82.8 mAh g⁻¹ at -20°C and well-recovered capacities upon temperature restoration, indicating effective performance across a range of temperatures, though no specific optimal temperature is explicitly stated; the additive enhances low-temperature performance rather than defining a single optimal point."
243,TPFPB,Not found,Not found,"TPFPB interacts with FSI− anions to decrease their reduction stability and increase the ratio of AGG-II clusters, promoting the decomposition of FSI− to form Li2S, which improves the stability, uniformity, and passivating ability of the SEI, suppresses side reactions, and reduces interface impedance.",Not found
255,BN,Not found,Not found,Not found,Not found
376,BN,Not found,Not found,"BN partially reacts with lithium metal to create stable Li3N, which forms a protective layer similar to SEI, suppressing side reactions and reducing interface impedance.",25°C
400,TPFPB,Not found,Not found,Not found,Not found
416,LiDFOB,Not found,Not found,"The boron-containing additive LiDFOB, in synergy with LiTFSI, decomposes to release boron atoms that initiate polymerization reactions, such as cutting C-O bonds in DME, leading to the formation of a stable and dense SEI layer with components like LiF and organic polymers, which suppresses side reactions and reduces interface impedance.",Not found
442,LiBOB,Not found,Not found,Not found,Not found
449,TMSB,"TMSB scavenges decomposition products at the cathode surface by coordinating with anions, including sulfates and thiosulfates, and reduces interfacial resistance, forming a more stable interface.",Not found,Not found,Not found
451,"C-LiMCFB, L-LiMCFB","The boron-containing additive C-LiMCFB forms a uniform and robust CEI rich in lithium boron-oxygen clusters interwoven with LiF, leading to enhanced mechanical robustness, adhesiveness, and toughness, which protects the NCM811 cathode and improves battery performance.","The battery with C-LiMCFB additive shows significant improvements in cycling stability at high voltages, such as 4.5V and 4.7V, with better capacity retention compared to batteries without the additive, as evidenced by extended cycle life in half-cells and full-cells under aggressive conditions.",Not found,Not found
452,Borax,Not found,Not found,Not found,Not found
457,MBO,Not found,Not found,Not found,Not found
458,BG,Not found,Not found,Not found,25°C
462,BNNs,Not found,Not found,"The incorporation of BNNs facilitates the formation of a stable SEI film, suppressing parasitic reactions and reducing interface impedance, as evidenced by XPS analysis showing reduced Li2CO3 formation and the appearance of Li3N, which promotes uniform Li deposition and dendrite suppression.",30°C
479,BDB,"A protective cathode electrolyte interface (CEI) film was formed by BDB on the surface of NCM811 in advance to resist HF and solvent erosion, and it has high ionic conductivity and stability, effectively inhibiting solvent decomposition and reducing polarization.","The battery with 0.7% BDB exhibits a cycle retention rate of 76.5% after 200 cycles at a cut-off voltage of 4.6V, while the battery with baseline electrolyte has a retention rate of only about 54%.","BDB participates in the formation of a solid electrolyte interface (SEI) film on the lithium metal surface that exhibits high ion conductivity, effectively inhibits the formation of lithium dendrites, reduces interface impedance, and suppresses side reactions.",Not found
503,TBB,"The boron-containing additive TBB contributes to the formation of a robust boron-rich cathode electrolyte interphase (CEI) on the NCM811 surface, enhancing structural stability and cycling performance.","The Li/PDE-TBB/NCM811 cell demonstrates stable performance with a capacity retention of 83.2% after 100 cycles at a high cut-off voltage of 4.3 V, compared to only 58.4% for the cell without TBB.","TBB promotes the formation of a stable solid electrolyte interphase (SEI) containing abundant polyether derivatives, suppressing side reactions, reducing interface impedance, and inhibiting lithium dendrite growth.",Not found
510,THB,Not found,Not found,"The THB additive promotes the formation of a stable fluorine- and boron-rich SEI to improve interfacial stability and suppress Li dendrite growth, as well as enhancing LiTFSI dissociation and increasing Li+ transference numbers.",Not found
517,LiBF4,"The boron-containing additive LiBF4 forms a robust cathode electrolyte interface (CEI) enriched with boron and fluorine-based inorganic components through sacrificial oxidation, which protects against active material corrosion, suppresses transition metal dissolution, and enhances long-term cycling performance by mitigating electrolyte degradation.","The battery with the LiBF4 additive shows superior performance at high voltages, with the LNMO cathode achieving a discharge capacity of 115 mAh g⁻¹ and energy density of 540 Wh kg⁻¹ over 500 cycles at a 1C rate, and specific capacities of 124.3 mAh g⁻¹ at 1C and 108.6 mAh g⁻¹ at 2C during rate capability tests, all under operating potentials up to 4.9V. Without the additive, the base electrolyte exhibits lower capacity retention and higher degradation.","The LiBF4 additive promotes the formation of a stable solid electrolyte interface (SEI) on the lithium metal anode, reducing overpotential, enabling more uniform lithium deposition, lowering interfacial impedance, and improving Coulombic efficiency, which suppresses side reactions and enhances anode stability.",20°C
