idx,additive,CEI,High_voltage_performance_CEI,SEI,Optimal_operating_temperature
3,LiDFOB,Not found,Not found,"The optimized electrolyte, incorporating LiDFOB as an additive and FEC as a cosolvent, formed a stable solid electrolyte interphase (SEI) on graphite anodes, which suppresses side reactions and reduces interface impedance, contributing to improved performance at low temperatures without lithium plating.",-20°C
6,"PBF, PRZ",Not found,Not found,Not found,Not found
16,"LBBB, LBNB, LBBPB",Not found,Not found,Not found,Not found
20,TMSB,"TMSB promotes the formation and stability of high-quality CEI films by combining with electron-rich F- and PF6- to form polyanion groups, which weaken electrostatic forces with EC, reduce EC decomposition, and result in a thinner, more stable CEI that suppresses side reactions and reduces interface impedance.","The battery with TMSB additive shows improved performance at high voltage, with a capacity retention of 47.7% after 250 cycles at 1C (current density corresponding to 250 mAh/g) and a voltage range of 2.0V to 4.8V, compared to 29.2% without additive. The additive enhances electrolyte stability and conductivity, supporting operation up to 4.8V.",Not found,Not found
29,"LiBSB, LiBOB, LiSOB, LiBMSB, LiBFSB, LiBClSB, LiBBrSB, LiBCl2SB",Not found,Not found,"The boron-containing additives contribute to SEI formation on the graphite electrode surface by irreversible reduction, as mentioned for LiBSB and other salicylato-borates, which can suppress side reactions and reduce interface impedance, but specific details on interaction relationship are not explicitly stated in the text.",Not found
48,THFPB,"The addition of THFPB contributes to the formation of a robust and thin CEI layer (~10-15 nm) rich in inorganic components such as LiBxOy, LiBxFy, and LiBxOyFz, which stabilizes the cathode interphase and reduces interfacial resistance, as confirmed by TEM, XPS, and EIS analyses.","Li||NCM811 batteries with 0.1M THFPB additive maintained 80% capacity retention after 150 cycles at a voltage window of 3.0-4.3V, compared to earlier capacity decay in the standard electrolyte without the additive.","THFPB addition enhances the formation of a stable SEI by increasing ion aggregations in the solvation structure, leading to reduced interfacial charge transfer resistance, higher Coulombic efficiency (99.45%), and suppression of side reactions and lithium dendrite growth, as evidenced by electrochemical tests and SEM morphology.",Not found
53,LiDFOB,Not found,Not found,"The boron-containing additive LiDFOB forms a very stable and protecting solid electrolyte interphase (SEI) on graphite electrodes, which is a very good lithium ion conductor, comparable with the SEIs of LiBF4-based electrolytes. It suppresses side reactions and reduces interface impedance, contributing to improved cycling performance.",20°C
59,LiDFOB,"The boron-containing additive LiDFOB facilitates the formation of a thin and robust protective interfacial layer rich in LiF and boron oxides, which effectively protects the cathode's structural integrity and inhibits side reactions.","The battery with the LiDFOB additive maintains outstanding cyclability at a 4.5V cut-off voltage, as mentioned in the context of stable cycling performance under high voltage conditions.","The LiDFOB additive promotes the formation of an anion-derived SEI rich in LiF and boron oxides, which suppresses parasitic reactions, reduces interface impedance, and enhances compatibility with the lithium metal anode.","The battery operates successfully over a wide temperature range from -20 to 60 °C, but no specific optimal temperature is mentioned; thus, it is not found in the text."
64,TPFPB,Not found,Not found,"The TPFPB additive affects the formation of the solid electrolyte interface (SEI) layer in a favorable way, as indicated by higher initial coulombic efficiency and less fluctuation during cycling at room temperature, implying it suppresses side reactions and improves interface stability.",Not found
67,LiT4PAB,Not found,Not found,"The abundant fluorine in PVDF-HFP contributes to LiF-rich solid electrolyte interphase (SEI) layer during the cycling process, which is beneficial for stabilizing the interface between LiPHB solid electrolyte and lithium anode.",30°C
